date,Investigate Person,Larceny,Harassment,Property Lost,Fraud,Auto Theft,Counterfeiting,Confidence Games,Commercial Burglary,Vandalism,Other,Missing Person Reported,Police Service Incidents,License Plate Related Incidents,Residential Burglary,Simple Assault,Property Found,Larceny From Motor Vehicle,Medical Assistance,Motor Vehicle Accident Response,Aggravated Assault,Landlord/Tenant Disputes,Investigate Property,Auto Theft Recovery,Missing Person Located,Embezzlement,Violations,Criminal Harassment,Disorderly Conduct,Warrant Arrests,Other Burglary,Restraining Order Violations,Recovered Stolen Property,Service,Property Related Damage,Robbery,Towed,Evading Fare,License Violation,Verbal Disputes,Fire Related Reports,Firearm Violations,Search Warrants,Operating Under the Influence,Drug Violation,Prisoner Related Incidents,Firearm Discovery,Ballistics,Liquor Violation,Homicide,Offenses Against Child / Family,Harbor Related Incidents,Arson,Assembly or Gathering Violations,Bomb Hoax,Aircraft,Phone Call Complaints,Prostitution,HUMAN TRAFFICKING,HOME INVASION,Explosives,,city
2018-01-01,14,20,6,12,9,2,1,1,1,10,17,2,2,0,2,29,2,9,12,42,6,1,12,2,4,0,5,0,3,2,0,1,1,0,0,3,3,0,4,16,2,1,1,4,3,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,Boston
2018-01-02,15,14,5,5,4,5,4,2,3,11,9,0,4,0,0,5,2,6,16,31,5,1,7,2,2,0,2,0,1,4,0,2,0,0,0,2,8,1,2,18,2,1,0,1,12,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Boston
2018-01-03,11,20,2,7,7,2,0,1,3,10,21,2,2,0,3,18,3,1,18,32,9,2,11,2,6,2,5,0,3,7,0,1,2,1,1,2,4,0,10,15,3,0,0,0,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-01-04,6,5,0,2,2,2,2,1,0,10,56,1,0,1,1,6,3,7,20,19,2,2,8,1,2,0,3,0,1,3,0,0,0,0,0,3,20,0,1,17,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-05,13,11,2,5,4,5,1,0,1,7,28,0,2,1,5,14,1,2,18,45,3,0,4,1,2,1,0,0,0,3,0,3,2,0,1,2,5,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-06,11,13,1,7,3,6,0,3,0,20,26,3,2,0,2,13,2,4,19,34,3,2,8,0,3,0,5,0,2,3,0,1,0,0,0,3,2,0,0,9,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-07,13,10,1,8,0,4,0,3,1,13,26,1,3,1,1,11,1,3,17,43,2,2,5,0,4,0,1,0,2,4,0,0,1,0,0,4,3,0,0,13,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-08,10,20,2,4,4,2,0,3,0,16,32,5,3,0,3,17,2,11,23,36,7,1,9,1,7,0,4,0,4,5,2,1,0,0,2,3,5,0,2,13,2,1,1,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Boston
2018-01-09,18,25,7,8,6,0,1,1,0,23,23,1,3,0,5,28,4,2,20,51,5,1,8,0,1,0,2,1,3,7,1,0,0,0,2,7,0,0,0,17,1,4,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-10,15,17,2,14,8,2,0,0,0,18,20,2,4,2,4,14,3,11,23,44,3,1,7,1,4,0,4,0,5,5,0,1,2,0,1,8,4,0,3,10,3,1,0,0,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-11,10,20,4,6,7,4,3,1,0,16,24,0,3,3,2,14,6,10,33,34,11,0,4,0,2,0,4,0,1,11,0,1,3,0,3,6,3,0,6,10,2,3,2,0,19,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-01-12,24,18,5,6,11,6,2,3,2,21,29,3,6,0,3,16,1,9,24,44,8,0,10,3,5,0,4,0,2,6,0,3,3,0,2,3,8,0,1,9,4,1,1,1,10,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-01-13,14,24,4,9,5,3,0,0,0,13,20,1,2,0,6,12,4,13,17,31,9,2,9,2,6,1,9,0,1,10,0,3,3,0,2,6,8,0,5,13,0,1,2,0,15,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,Boston
2018-01-14,12,14,4,6,3,2,0,0,0,16,15,1,2,0,3,14,2,8,16,24,12,0,10,2,2,2,0,0,1,4,0,2,1,1,0,0,6,0,1,18,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-15,18,20,4,5,1,2,2,3,0,11,10,0,1,0,5,7,4,9,18,26,9,1,6,3,2,0,5,0,2,12,0,1,0,0,1,4,12,0,4,13,2,2,0,0,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-16,13,23,2,7,6,7,1,0,0,8,17,2,7,1,4,15,6,6,16,15,6,2,8,1,4,1,4,0,3,11,1,2,2,0,0,4,4,0,1,11,3,1,1,0,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-17,15,21,7,11,6,4,1,0,2,11,21,3,3,1,3,16,1,10,36,33,8,0,8,1,4,0,3,0,3,3,1,1,1,0,0,6,5,0,1,11,1,3,0,0,11,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-18,9,26,10,7,6,3,0,3,1,5,12,2,3,0,2,10,1,5,23,25,6,2,3,0,7,0,3,0,0,8,0,1,2,0,0,2,0,0,2,11,2,5,0,0,18,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-19,10,36,1,8,2,0,1,0,1,9,13,4,3,0,7,13,6,16,15,20,4,1,11,2,5,0,4,0,3,8,0,2,0,0,1,5,5,0,0,6,2,1,3,0,15,1,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,Boston
2018-01-20,21,20,1,7,5,4,3,1,1,8,13,3,2,1,3,12,3,4,27,22,6,2,10,2,8,0,12,0,1,2,0,0,0,0,1,1,6,0,2,10,3,1,2,0,16,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-01-21,20,18,0,8,2,4,2,1,2,12,9,4,0,0,1,14,2,7,19,27,8,0,9,1,9,0,2,0,1,3,0,0,0,0,0,3,3,0,9,14,1,0,0,0,3,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,Boston
